hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,reserved_room_type,assigned_room_type
City Hotel,1,19,2015,October,41,6,0,3,2,0.0,0,A,A
Resort Hotel,0,48,2017,February,7,17,2,5,2,2.0,0,G,G
City Hotel,0,396,2017,June,26,25,2,0,2,0.0,0,A,A
Resort Hotel,0,169,2017,July,31,31,1,3,2,1.0,0,D,D
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,A,A
City Hotel,0,213,2017,August,35,28,1,3,1,0.0,0,A,A
Resort Hotel,1,12,2016,October,42,10,1,1,2,0.0,0,A,A
City Hotel,1,218,2016,June,24,9,0,2,2,0.0,0,A,A
Resort Hotel,0,15,2017,March,12,19,2,5,2,0.0,0,F,F
City Hotel,0,39,2016,September,40,25,1,0,1,0.0,0,A,B
Resort Hotel,0,0,2016,November,47,14,1,0,2,0.0,0,F,F
Resort Hotel,0,14,2016,August,33,10,0,2,2,0.0,0,A,D
Resort Hotel,1,10,2017,July,28,10,1,1,2,0.0,0,A,A
City Hotel,1,111,2017,August,32,11,0,2,2,0.0,0,A,A
Resort Hotel,0,1,2017,May,22,30,0,2,2,0.0,0,A,B
Resort Hotel,0,61,2015,August,35,29,2,1,2,0.0,0,A,D
City Hotel,0,64,2017,August,31,4,0,1,2,2.0,0,E,E
City Hotel,1,247,2016,October,44,28,1,2,2,0.0,0,A,A
City Hotel,0,14,2015,October,41,5,1,0,1,0.0,0,A,A
Resort Hotel,0,25,2016,March,11,8,2,7,2,0.0,0,F,F
City Hotel,1,86,2016,January,4,22,0,1,1,0.0,0,A,A
Resort Hotel,0,56,2016,March,12,17,0,0,2,0.0,0,A,A
City Hotel,1,98,2015,November,48,23,1,2,1,0.0,0,A,A
City Hotel,0,17,2017,February,6,10,1,2,2,0.0,0,A,A
City Hotel,1,74,2015,September,38,18,0,2,2,0.0,0,A,A
Resort Hotel,1,137,2017,June,26,29,2,4,2,0.0,0,A,A
City Hotel,0,13,2017,March,13,30,0,2,1,0.0,0,D,D
City Hotel,0,69,2016,October,43,16,2,3,2,1.0,0,F,F
City Hotel,1,112,2017,January,2,12,1,3,3,0.0,0,D,D
City Hotel,1,39,2015,August,33,14,0,2,2,0.0,0,A,A
City Hotel,1,22,2016,May,21,20,0,2,2,0.0,0,A,A
City Hotel,0,21,2017,March,11,16,1,3,2,0.0,0,A,A
Resort Hotel,0,244,2016,September,38,16,0,2,2,0.0,0,D,E
City Hotel,1,22,2017,June,23,4,2,1,2,0.0,0,D,D
Resort Hotel,0,277,2015,October,41,6,2,5,2,0.0,0,D,D
Resort Hotel,0,32,2016,September,38,12,1,1,2,0.0,0,A,A
City Hotel,0,7,2017,March,10,6,1,0,1,0.0,0,A,A
City Hotel,1,1,2016,April,16,16,0,1,2,0.0,0,A,A
City Hotel,0,187,2016,October,41,7,1,2,2,0.0,0,A,A
City Hotel,0,0,2017,March,10,6,1,0,2,0.0,0,A,D
City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,A,A
Resort Hotel,0,191,2016,April,17,22,1,2,2,0.0,0,A,A
City Hotel,0,13,2017,January,1,3,0,2,2,0.0,0,D,D
City Hotel,0,183,2017,August,34,21,1,2,2,0.0,0,A,A
City Hotel,0,169,2017,July,27,2,1,0,2,0.0,0,A,A
Resort Hotel,0,146,2015,October,43,19,2,5,1,0.0,0,A,E
City Hotel,1,275,2016,June,23,4,1,1,2,0.0,0,A,A
City Hotel,1,580,2017,February,6,9,0,2,2,0.0,0,A,A
City Hotel,0,3,2017,April,17,27,1,3,2,0.0,0,A,A
Resort Hotel,0,89,2015,December,53,30,0,4,3,0.0,0,A,D
City Hotel,1,121,2016,June,26,24,1,2,2,0.0,0,A,A
City Hotel,1,278,2015,July,30,22,0,2,2,0.0,0,A,A
City Hotel,1,38,2015,October,43,19,1,1,2,0.0,0,A,A
City Hotel,1,122,2017,August,33,14,1,2,3,0.0,0,D,D
City Hotel,0,196,2017,August,34,21,1,3,2,1.0,0,A,A
City Hotel,0,323,2016,May,21,17,0,4,2,0.0,0,A,A
City Hotel,0,405,2017,July,27,4,0,2,2,0.0,0,A,A
City Hotel,0,43,2017,June,26,29,2,5,3,0.0,0,D,D
Resort Hotel,0,177,2017,July,30,25,0,5,2,0.0,0,F,F
Resort Hotel,0,187,2017,July,29,21,2,2,3,0.0,0,A,A
Resort Hotel,0,34,2016,September,38,11,2,1,2,0.0,0,A,A
Resort Hotel,0,7,2015,October,43,19,1,1,1,0.0,0,A,D
City Hotel,0,171,2017,July,27,7,1,2,2,0.0,0,D,D
Resort Hotel,1,163,2017,July,29,22,4,10,2,0.0,0,D,D
Resort Hotel,0,226,2017,March,12,25,2,2,2,0.0,0,A,A
Resort Hotel,0,207,2017,February,7,13,1,3,2,0.0,0,E,E
City Hotel,1,461,2016,October,42,13,0,2,2,0.0,0,A,A
Resort Hotel,0,0,2016,November,46,9,0,0,1,0.0,0,A,I
City Hotel,0,13,2016,October,43,17,1,2,2,0.0,0,A,A
Resort Hotel,1,24,2017,July,30,24,1,4,2,0.0,0,E,E
Resort Hotel,0,22,2015,August,31,1,1,1,2,0.0,0,A,A
City Hotel,0,87,2017,May,21,22,1,1,1,0.0,0,A,A
City Hotel,1,34,2015,December,50,8,0,2,1,0.0,0,A,A
City Hotel,1,90,2016,April,16,12,0,4,2,0.0,0,D,D
City Hotel,1,274,2016,April,15,7,0,2,2,0.0,0,A,A
City Hotel,0,22,2017,January,1,7,0,1,2,0.0,0,D,D
City Hotel,0,69,2015,October,44,25,2,1,1,0.0,0,A,E
Resort Hotel,1,219,2017,June,24,15,0,3,2,0.0,0,A,A
Resort Hotel,0,30,2016,April,16,13,0,2,2,0.0,0,A,E
City Hotel,1,33,2015,December,50,9,0,2,2,0.0,0,A,A
City Hotel,1,4,2017,August,32,6,1,0,1,0.0,0,A,D
City Hotel,1,309,2017,February,7,17,4,7,2,0.0,0,A,A
City Hotel,0,295,2017,April,14,6,0,3,2,0.0,0,A,A
City Hotel,0,115,2017,August,34,20,2,1,1,0.0,0,D,D
City Hotel,1,61,2017,February,9,26,2,3,2,0.0,0,D,D
City Hotel,0,0,2016,October,42,10,1,0,1,0.0,0,A,B
City Hotel,0,72,2015,October,44,28,0,3,2,0.0,0,A,A
City Hotel,0,5,2017,July,29,16,1,0,2,0.0,0,A,A
City Hotel,0,8,2016,September,40,30,0,1,1,0.0,0,F,G
City Hotel,0,318,2016,September,38,16,1,2,2,0.0,0,A,A
Resort Hotel,0,342,2016,September,40,27,4,10,2,0.0,0,E,E
City Hotel,0,66,2017,January,4,27,0,2,2,0.0,0,A,A
Resort Hotel,0,0,2016,February,6,2,0,3,1,0.0,0,A,D
City Hotel,0,230,2016,September,37,6,0,5,2,0.0,0,A,A
City Hotel,1,8,2016,April,18,29,1,2,2,0.0,0,A,A
Resort Hotel,1,50,2016,December,51,15,1,3,2,0.0,0,A,A
City Hotel,1,122,2015,July,28,9,0,1,1,0.0,0,A,A
Resort Hotel,0,269,2017,July,31,30,4,10,2,0.0,0,A,A
Resort Hotel,0,2,2016,May,20,10,0,1,1,0.0,0,A,C
City Hotel,1,358,2015,October,41,10,1,1,2,0.0,0,A,A
City Hotel,0,3,2016,October,41,7,1,2,2,0.0,0,G,G
City Hotel,0,265,2016,April,17,20,0,4,2,0.0,0,A,A
City Hotel,0,24,2017,June,24,12,1,3,3,0.0,0,G,G
City Hotel,0,4,2015,August,35,25,0,4,2,0.0,0,A,A
City Hotel,0,64,2016,May,21,17,0,2,1,0.0,0,A,A
City Hotel,1,185,2016,December,51,16,1,2,2,0.0,0,D,D
City Hotel,0,3,2016,April,15,7,0,1,1,0.0,0,A,A
Resort Hotel,0,364,2015,July,27,3,3,7,2,0.0,0,A,A
Resort Hotel,1,37,2015,October,43,18,2,3,2,0.0,0,D,D
Resort Hotel,0,13,2015,October,41,8,0,1,1,0.0,0,A,G
City Hotel,0,22,2017,March,11,16,2,5,2,0.0,0,A,A
City Hotel,1,113,2016,May,23,31,0,3,1,0.0,0,A,A
City Hotel,0,32,2016,July,30,18,1,1,1,0.0,0,A,A
Resort Hotel,0,2,2016,February,7,13,1,1,2,0.0,0,A,C
Resort Hotel,1,164,2016,June,25,18,2,5,2,2.0,0,G,G
City Hotel,1,433,2016,September,38,15,0,2,2,0.0,0,A,A
City Hotel,1,247,2016,October,44,28,1,2,2,0.0,0,A,A
City Hotel,0,181,2017,January,2,8,2,1,2,0.0,0,D,A
Resort Hotel,0,33,2017,June,23,10,2,5,2,0.0,0,D,D
City Hotel,1,314,2015,August,35,27,0,2,2,0.0,0,A,A
City Hotel,1,264,2017,June,25,18,2,5,1,0.0,0,A,A
Resort Hotel,0,157,2016,June,26,23,2,5,2,0.0,0,A,A
City Hotel,0,131,2017,August,31,3,1,3,2,0.0,0,A,A
Resort Hotel,0,244,2015,September,36,2,2,5,2,0.0,0,A,A
Resort Hotel,0,65,2016,July,31,29,1,2,2,0.0,0,D,D
City Hotel,1,304,2015,August,34,17,1,1,2,0.0,0,A,A
Resort Hotel,0,285,2016,September,39,20,2,5,3,0.0,0,A,C
Resort Hotel,0,76,2016,March,14,27,1,0,2,0.0,0,A,A
Resort Hotel,0,71,2017,May,18,1,1,2,2,2.0,0,C,C
City Hotel,0,162,2016,August,35,26,2,3,2,0.0,0,B,B
Resort Hotel,1,255,2017,April,14,3,3,7,2,0.0,0,D,D
Resort Hotel,0,42,2016,April,17,21,0,2,2,0.0,0,E,E
City Hotel,0,177,2016,July,30,20,2,5,2,0.0,0,A,A
City Hotel,1,69,2016,August,36,31,0,3,2,0.0,0,A,A
City Hotel,0,52,2015,November,47,19,0,3,2,0.0,0,D,D
City Hotel,0,135,2017,May,22,29,1,2,2,1.0,0,D,D
City Hotel,0,189,2016,July,30,17,2,3,2,0.0,0,D,D
Resort Hotel,1,117,2017,July,30,25,0,4,2,1.0,0,A,A
City Hotel,0,59,2016,September,36,1,0,3,2,0.0,0,D,D
City Hotel,0,42,2016,August,34,20,1,1,2,2.0,0,F,F
City Hotel,0,0,2015,November,45,1,1,0,2,1.0,0,A,D
City Hotel,1,302,2016,September,38,16,1,2,2,0.0,0,A,A
City Hotel,1,286,2016,May,20,11,0,4,2,0.0,0,A,A
City Hotel,1,74,2016,July,28,9,0,1,2,0.0,0,D,D
City Hotel,1,89,2017,April,15,10,1,3,3,0.0,0,D,D
City Hotel,0,5,2017,April,17,24,1,3,2,0.0,0,D,D
City Hotel,0,10,2017,March,13,27,1,1,2,0.0,0,A,A
Resort Hotel,0,0,2016,February,9,25,0,0,1,0.0,0,A,E
City Hotel,1,241,2015,October,43,19,1,2,2,0.0,0,A,A
Resort Hotel,1,149,2015,December,49,5,2,1,2,0.0,0,A,A
City Hotel,1,17,2017,February,9,26,2,1,1,0.0,0,D,D
City Hotel,0,29,2016,August,33,8,1,0,2,0.0,0,A,A
Resort Hotel,0,292,2016,November,45,3,0,1,2,0.0,0,A,C
Resort Hotel,0,34,2016,April,17,20,0,4,2,0.0,0,G,G
City Hotel,0,75,2016,December,52,24,2,2,2,0.0,0,A,A
City Hotel,0,24,2016,February,10,29,1,3,2,0.0,0,A,A
City Hotel,0,57,2016,October,42,13,2,4,1,0.0,0,D,D
Resort Hotel,1,158,2017,July,29,18,1,5,2,0.0,0,A,A
Resort Hotel,0,2,2017,August,31,3,0,2,2,0.0,0,D,D
City Hotel,1,161,2017,May,21,21,2,1,2,0.0,0,D,D
City Hotel,1,99,2015,October,44,30,2,2,2,0.0,0,A,A
City Hotel,1,91,2016,March,12,18,0,2,1,0.0,0,A,A
Resort Hotel,0,0,2017,April,17,29,1,1,2,0.0,0,A,A
City Hotel,1,75,2015,September,38,19,2,2,2,0.0,0,A,A
City Hotel,0,88,2017,July,31,30,2,0,2,0.0,0,A,A
City Hotel,1,229,2017,July,28,12,1,4,2,0.0,0,A,A
Resort Hotel,0,0,2016,April,18,25,1,0,1,0.0,0,A,D
City Hotel,0,136,2016,July,28,3,2,3,2,0.0,0,A,A
Resort Hotel,0,142,2016,October,44,29,2,5,2,0.0,0,D,D
City Hotel,1,91,2016,June,25,18,1,1,2,0.0,0,A,A
City Hotel,0,7,2016,January,4,19,0,3,1,0.0,0,A,A
City Hotel,0,33,2016,March,11,8,0,2,1,0.0,0,A,A
City Hotel,1,6,2017,July,30,23,1,0,2,1.0,0,A,A
Resort Hotel,0,39,2015,August,32,7,2,3,2,0.0,0,A,B
Resort Hotel,0,171,2017,August,35,27,2,5,2,0.0,0,E,E
Resort Hotel,1,32,2015,November,46,11,0,4,1,0.0,0,A,A
Resort Hotel,1,184,2016,July,30,17,4,7,2,0.0,0,A,A
Resort Hotel,0,33,2016,September,38,15,0,2,2,2.0,0,G,F
City Hotel,0,24,2017,July,29,16,2,0,2,1.0,0,E,E
City Hotel,1,23,2016,December,51,16,0,1,2,0.0,0,A,A
City Hotel,1,17,2017,February,9,26,2,1,1,0.0,0,D,D
Resort Hotel,0,255,2016,June,24,10,4,10,2,0.0,0,A,A
City Hotel,1,22,2017,July,28,14,0,2,2,0.0,0,A,A
City Hotel,1,110,2016,May,19,3,0,4,2,0.0,0,A,A
City Hotel,0,96,2015,July,28,11,2,1,2,0.0,0,A,A
City Hotel,0,6,2016,February,6,5,0,2,2,0.0,0,D,D
Resort Hotel,0,99,2017,May,19,11,4,10,2,0.0,0,D,D
City Hotel,0,1,2017,March,11,15,0,1,2,0.0,0,G,G
Resort Hotel,1,39,2015,December,52,21,3,6,2,0.0,0,D,D
Resort Hotel,0,166,2016,March,12,19,2,5,2,0.0,0,E,E
Resort Hotel,0,20,2015,December,50,6,2,0,2,0.0,0,A,D
Resort Hotel,0,0,2016,May,19,3,0,1,1,0.0,0,D,D
City Hotel,0,6,2016,November,48,25,0,1,3,0.0,0,D,E
City Hotel,0,70,2016,June,23,3,0,2,2,0.0,0,A,A
City Hotel,0,41,2017,February,7,14,0,2,2,0.0,0,A,A
City Hotel,1,259,2016,May,19,5,0,3,2,0.0,0,A,A
City Hotel,0,74,2016,March,13,20,2,2,2,0.0,0,A,A
City Hotel,1,27,2017,July,28,14,0,1,3,0.0,0,D,A
City Hotel,1,273,2016,May,20,13,1,2,2,0.0,0,A,A
Resort Hotel,1,89,2017,February,6,10,1,2,2,0.0,0,A,C
City Hotel,0,85,2017,July,27,3,1,2,2,2.0,0,F,F
City Hotel,0,5,2016,November,47,14,1,0,2,0.0,0,A,A
City Hotel,1,342,2015,September,39,24,2,4,2,0.0,0,A,A
City Hotel,1,274,2016,April,15,7,0,2,2,0.0,0,A,A
Resort Hotel,0,34,2015,December,52,22,0,1,2,0.0,0,D,D
Resort Hotel,0,40,2017,January,3,16,1,2,1,0.0,0,A,D
Resort Hotel,0,12,2016,January,3,16,0,1,2,0.0,0,A,D
City Hotel,1,166,2016,November,45,1,0,3,1,0.0,0,A,A
Resort Hotel,1,273,2016,August,35,24,2,5,2,0.0,0,A,A
City Hotel,1,281,2016,April,16,14,0,2,2,0.0,0,A,A
City Hotel,0,98,2016,October,45,30,2,2,2,0.0,0,A,A
City Hotel,0,23,2015,November,45,5,0,1,1,0.0,0,A,A
City Hotel,0,43,2017,April,14,8,2,1,2,0.0,0,A,A
Resort Hotel,0,29,2015,July,29,17,0,1,2,0.0,0,E,E
City Hotel,1,24,2016,April,16,10,2,3,2,1.0,0,D,D
City Hotel,0,36,2016,March,12,16,0,3,3,0.0,0,D,D
City Hotel,0,1,2016,August,33,7,1,0,2,0.0,0,A,B
City Hotel,1,41,2017,March,12,19,2,2,2,0.0,0,A,A
Resort Hotel,1,119,2017,August,34,21,1,4,2,2.0,0,G,G
City Hotel,1,147,2017,April,14,8,2,3,2,0.0,0,A,A
Resort Hotel,1,12,2016,July,31,24,1,0,2,0.0,0,A,A
Resort Hotel,0,2,2016,March,10,1,0,2,2,0.0,0,E,E
City Hotel,1,168,2017,May,21,26,1,2,2,0.0,0,A,A
City Hotel,1,332,2017,April,16,22,1,1,2,1.0,0,F,F
City Hotel,0,54,2017,June,25,23,1,2,2,0.0,0,A,A
Resort Hotel,0,67,2016,February,6,1,1,1,1,0.0,0,A,E
City Hotel,1,64,2017,March,12,24,0,2,2,0.0,0,D,D
City Hotel,0,220,2017,March,10,10,1,2,2,0.0,0,A,A
Resort Hotel,1,94,2015,August,34,20,2,5,2,0.0,0,H,H
City Hotel,1,166,2016,November,45,1,0,3,1,0.0,0,A,A
City Hotel,1,28,2017,March,9,2,0,3,2,0.0,0,A,A
City Hotel,0,60,2015,September,39,21,1,1,2,0.0,0,A,A
Resort Hotel,1,151,2017,July,29,22,2,5,2,0.0,0,A,A
City Hotel,0,57,2017,June,24,15,0,2,2,0.0,0,D,D
City Hotel,0,5,2016,April,18,28,0,1,2,0.0,0,A,A
City Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,A,A
City Hotel,1,195,2016,August,33,7,2,1,2,0.0,0,A,A
City Hotel,0,156,2016,July,28,7,1,3,2,0.0,0,A,A
City Hotel,0,123,2016,September,39,23,0,2,2,0.0,0,E,E
Resort Hotel,0,9,2016,April,17,23,1,1,1,1.0,0,D,D
City Hotel,1,262,2015,November,46,9,1,2,2,0.0,0,A,A
Resort Hotel,0,272,2017,February,7,18,2,5,2,0.0,0,F,E
Resort Hotel,0,0,2017,June,23,5,1,1,1,0.0,0,A,A
City Hotel,0,77,2016,April,18,25,1,1,2,1.0,0,A,D
City Hotel,1,45,2016,November,47,19,1,1,1,0.0,0,A,A
City Hotel,1,299,2015,August,33,12,0,2,2,0.0,0,A,A
City Hotel,0,59,2017,June,25,19,1,3,2,0.0,0,D,D
City Hotel,0,6,2017,January,2,14,0,1,2,1.0,0,E,E
Resort Hotel,0,87,2016,May,21,19,3,8,2,0.0,0,E,E
City Hotel,0,0,2015,November,45,5,0,1,2,0.0,0,G,G
City Hotel,1,303,2016,August,34,19,2,3,2,0.0,0,A,A
Resort Hotel,0,1,2017,June,22,1,0,1,1,0.0,0,A,A
Resort Hotel,0,244,2016,October,43,16,2,5,2,1.0,0,E,E
Resort Hotel,1,219,2017,June,24,15,0,3,2,0.0,0,A,A
City Hotel,1,195,2016,July,30,18,1,3,2,2.0,0,F,F
Resort Hotel,0,178,2016,July,31,25,1,4,2,0.0,0,A,A
City Hotel,0,77,2017,March,13,31,1,2,2,0.0,0,A,A
Resort Hotel,0,27,2015,July,28,5,2,5,2,0.0,0,E,E
City Hotel,1,368,2017,June,26,28,0,3,2,0.0,0,A,A
Resort Hotel,1,144,2016,May,22,28,2,5,2,0.0,0,A,A
City Hotel,0,15,2016,February,8,19,0,1,1,0.0,0,A,A
City Hotel,1,93,2016,October,42,15,2,1,1,0.0,0,A,A
City Hotel,0,6,2016,December,52,18,2,1,2,1.0,0,A,D
City Hotel,1,160,2017,August,33,18,0,1,3,0.0,0,D,D
City Hotel,1,153,2017,June,25,21,0,4,1,0.0,0,A,A
City Hotel,0,62,2016,September,39,21,0,1,1,0.0,0,A,A
City Hotel,0,201,2017,February,9,27,1,3,0,2.0,0,B,A
City Hotel,0,53,2016,March,12,17,0,3,2,0.0,0,D,D
City Hotel,0,256,2016,August,33,7,2,2,2,0.0,0,B,A
City Hotel,1,128,2017,June,23,9,0,2,2,0.0,0,A,A
Resort Hotel,0,29,2016,October,43,19,0,1,1,0.0,0,A,A
Resort Hotel,0,287,2015,October,42,15,0,3,2,0.0,0,A,F
City Hotel,0,34,2017,May,19,9,0,2,1,0.0,0,A,A
Resort Hotel,1,7,2015,July,29,17,0,2,2,0.0,0,A,A
Resort Hotel,0,11,2016,January,2,9,2,6,2,1.0,0,E,E
Resort Hotel,0,105,2015,September,36,1,0,5,3,0.0,0,E,E
City Hotel,0,70,2017,August,33,18,0,2,2,0.0,0,D,D
City Hotel,1,173,2017,June,24,11,2,3,2,0.0,0,A,A
City Hotel,1,33,2016,January,5,25,1,1,2,0.0,0,A,A
City Hotel,1,15,2016,June,26,23,0,1,2,0.0,0,A,A
City Hotel,0,71,2017,June,23,8,0,3,3,0.0,0,D,D
Resort Hotel,0,23,2015,July,31,30,2,3,2,1.0,0,F,F
City Hotel,1,151,2017,June,24,16,1,2,3,0.0,0,D,D
City Hotel,0,29,2017,August,35,30,0,2,1,0.0,0,A,A
City Hotel,1,146,2016,April,18,24,2,0,2,0.0,0,A,A
City Hotel,0,136,2016,May,20,8,2,2,2,0.0,0,A,A
City Hotel,0,7,2015,August,34,19,1,4,2,0.0,0,A,B
Resort Hotel,1,59,2016,March,13,24,0,3,2,0.0,0,E,E
Resort Hotel,0,286,2016,June,26,23,1,3,2,0.0,0,A,F
Resort Hotel,1,303,2016,September,36,1,3,8,2,0.0,0,A,A
City Hotel,0,120,2016,August,33,9,0,5,2,0.0,0,D,D
City Hotel,0,18,2015,July,29,18,1,1,2,0.0,0,A,A
City Hotel,1,290,2015,August,32,3,1,3,2,0.0,0,A,A
City Hotel,0,0,2015,August,32,5,1,4,2,0.0,0,A,A
City Hotel,1,454,2016,October,41,6,0,2,2,0.0,0,A,A
City Hotel,1,95,2016,December,50,7,0,4,2,2.0,0,B,B
Resort Hotel,1,17,2016,October,43,22,2,2,2,2.0,0,G,G
City Hotel,0,2,2016,October,44,27,0,2,1,0.0,0,A,A
City Hotel,1,2,2016,February,7,11,0,2,2,0.0,0,A,A
Resort Hotel,0,2,2016,October,44,29,0,0,1,0.0,0,E,E
City Hotel,0,54,2016,March,12,14,1,4,2,0.0,0,A,A
City Hotel,0,36,2016,July,31,25,1,0,1,2.0,0,A,D
City Hotel,0,465,2017,July,30,26,0,3,2,0.0,0,A,A
City Hotel,0,50,2017,June,26,28,0,2,2,0.0,0,A,A
City Hotel,1,39,2016,March,13,23,0,3,2,0.0,0,D,D
City Hotel,0,11,2016,January,5,26,0,2,2,0.0,0,A,D
Resort Hotel,1,87,2016,April,18,29,2,5,2,0.0,0,A,A
Resort Hotel,0,24,2015,November,45,3,3,10,1,0.0,0,A,A
City Hotel,0,102,2016,July,28,8,2,6,2,0.0,0,A,A
City Hotel,0,54,2017,April,14,3,1,2,2,2.0,0,E,E
Resort Hotel,1,258,2016,October,41,2,2,3,1,0.0,0,A,A
City Hotel,0,220,2016,June,23,4,2,1,2,0.0,0,A,A
City Hotel,1,103,2016,October,43,17,1,4,2,0.0,0,A,A
City Hotel,0,93,2017,June,25,22,2,3,2,0.0,0,A,A
City Hotel,0,121,2017,June,25,18,2,0,2,0.0,0,A,A
City Hotel,0,0,2015,August,32,8,1,1,2,0.0,0,D,D
City Hotel,1,158,2017,August,33,19,2,1,2,2.0,0,G,G
City Hotel,1,336,2015,September,38,18,0,2,2,0.0,0,A,A
Resort Hotel,0,125,2017,February,5,4,6,15,1,0.0,0,D,D
City Hotel,1,153,2016,May,22,28,2,1,2,0.0,0,D,D
Resort Hotel,0,0,2016,October,44,25,0,2,2,0.0,0,A,E
City Hotel,1,17,2016,May,21,15,4,8,1,0.0,0,D,A
City Hotel,0,215,2016,August,33,8,1,2,2,0.0,0,A,B
City Hotel,0,172,2016,July,31,26,1,5,2,0.0,0,A,A
City Hotel,0,17,2015,October,41,8,0,2,1,0.0,0,A,E
Resort Hotel,0,0,2017,March,10,8,0,1,1,0.0,0,A,A
Resort Hotel,0,100,2017,April,17,29,2,1,2,0.0,0,A,A
City Hotel,1,193,2015,October,42,15,0,3,2,0.0,0,A,A
Resort Hotel,1,259,2015,September,38,17,0,3,1,0.0,0,A,A
Resort Hotel,1,215,2016,June,23,1,0,3,2,0.0,0,A,A
City Hotel,0,60,2016,September,40,29,0,2,2,0.0,0,D,E
Resort Hotel,0,258,2015,September,38,17,0,2,2,0.0,0,A,C
Resort Hotel,0,4,2016,May,23,30,1,2,2,0.0,0,A,A
City Hotel,1,10,2016,July,29,16,0,1,2,0.0,0,A,A
City Hotel,1,145,2016,January,2,3,2,1,2,0.0,0,A,A
City Hotel,0,0,2017,March,12,22,0,1,2,0.0,0,A,D
Resort Hotel,1,211,2016,September,37,7,0,3,1,0.0,0,D,D
City Hotel,0,160,2016,June,25,17,1,2,2,0.0,0,D,D
City Hotel,0,465,2017,July,30,26,0,3,2,0.0,0,A,A
City Hotel,1,250,2017,May,21,25,1,3,2,0.0,0,A,A
City Hotel,0,220,2016,June,23,4,2,1,2,0.0,0,A,A
City Hotel,0,0,2016,January,2,6,0,1,1,0.0,0,A,A
Resort Hotel,0,2,2017,January,4,26,0,1,1,0.0,0,A,D
City Hotel,0,109,2017,May,20,18,0,2,2,0.0,0,A,A
City Hotel,1,72,2017,August,31,5,2,1,2,0.0,0,A,A
City Hotel,0,300,2017,August,31,4,1,2,3,0.0,0,A,A
Resort Hotel,1,79,2017,April,15,14,1,2,2,0.0,0,A,A
City Hotel,0,226,2017,June,25,22,0,3,2,0.0,0,A,A
City Hotel,0,58,2016,November,47,16,0,3,2,0.0,0,A,D
City Hotel,0,2,2015,September,37,11,0,2,2,0.0,0,A,A
City Hotel,1,292,2015,August,32,5,0,2,2,0.0,0,A,A
Resort Hotel,1,70,2016,June,25,12,2,5,3,1.0,0,H,H
City Hotel,0,3,2016,May,21,19,0,1,1,0.0,0,A,A
City Hotel,0,204,2015,October,41,9,2,2,2,0.0,0,A,A
City Hotel,0,5,2017,January,3,18,0,2,1,0.0,0,A,A
Resort Hotel,1,44,2016,November,47,19,1,1,2,0.0,0,A,A
City Hotel,0,42,2017,April,16,21,1,2,2,0.0,0,D,D
City Hotel,1,288,2016,April,17,21,0,2,2,0.0,0,A,A
City Hotel,0,69,2017,March,11,18,1,1,2,0.0,0,A,A
Resort Hotel,0,0,2016,October,44,29,0,1,1,0.0,0,A,A
City Hotel,0,27,2016,February,8,18,0,1,3,0.0,0,D,D
City Hotel,0,414,2017,July,28,13,0,2,2,0.0,0,A,D
City Hotel,1,27,2017,June,25,20,0,4,3,0.0,0,E,E
Resort Hotel,0,3,2017,July,28,15,1,1,2,2.0,0,C,C
Resort Hotel,1,118,2016,February,8,15,3,6,2,0.0,0,A,A
Resort Hotel,0,1,2016,January,4,19,0,2,2,0.0,0,A,D
City Hotel,0,118,2016,June,24,6,1,3,1,0.0,0,A,A
City Hotel,0,315,2016,September,38,17,1,1,2,0.0,0,A,A
City Hotel,1,50,2016,November,47,18,1,2,1,0.0,0,A,A
City Hotel,0,89,2016,April,15,9,2,1,2,0.0,0,A,A
City Hotel,1,118,2015,August,34,20,0,1,2,0.0,0,A,A
Resort Hotel,0,8,2017,February,7,15,0,1,2,0.0,0,E,E
City Hotel,1,41,2016,September,38,14,0,2,2,0.0,0,A,A
City Hotel,0,23,2017,July,27,5,0,2,1,0.0,0,A,A
City Hotel,1,97,2015,October,41,5,1,3,1,0.0,0,A,A
Resort Hotel,1,190,2016,August,34,20,2,3,2,1.0,0,D,D
City Hotel,0,5,2017,April,15,12,0,3,2,0.0,0,A,A
City Hotel,1,168,2016,April,17,22,1,2,2,0.0,0,A,A
City Hotel,0,13,2016,October,44,25,0,3,2,0.0,0,A,A
City Hotel,1,277,2017,January,2,13,0,2,2,0.0,0,A,A
City Hotel,1,16,2016,December,53,28,2,4,2,0.0,0,A,A
City Hotel,1,7,2016,March,13,23,0,1,2,0.0,0,A,A
City Hotel,0,22,2016,September,39,24,2,1,2,0.0,0,A,A
City Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,A,A
Resort Hotel,0,184,2017,August,32,9,1,4,2,1.0,0,A,A
City Hotel,0,147,2016,August,34,14,2,1,2,0.0,0,A,A
City Hotel,1,115,2017,May,18,3,0,3,1,0.0,0,A,A
City Hotel,0,160,2016,June,26,25,2,5,2,1.0,0,F,G
City Hotel,0,134,2016,May,23,29,2,3,2,0.0,0,A,A
